iter	Passed	Remaining
0	163	244970
1	183	137412
2	203	101473
3	237	88755
4	265	79244
5	288	71911
6	306	65411
7	326	60864
8	344	57024
9	372	55461
10	388	52625
11	409	50792
12	432	49429
13	446	47429
14	476	47172
15	503	46671
16	534	46645
17	561	46259
18	591	46117
19	611	45252
20	630	44427
21	651	43753
22	668	42954
23	687	42254
24	707	41734
25	726	41174
26	744	40621
27	763	40126
28	781	39624
29	801	39266
30	820	38903
31	857	39325
32	878	39036
33	899	38797
34	920	38514
35	938	38166
36	957	37856
37	974	37498
38	991	37147
39	1009	36831
40	1025	36502
41	1052	36533
42	1070	36281
43	1089	36036
44	1107	35795
45	1125	35564
46	1143	35341
47	1163	35192
48	1183	35050
49	1205	34957
50	1221	34691
51	1241	34558
52	1250	34149
53	1270	34029
54	1292	33958
55	1313	33864
56	1335	33798
57	1356	33727
58	1376	33617
59	1395	33496
60	1414	33361
61	1435	33286
62	1453	33153
63	1472	33033
64	1485	32794
65	1504	32681
66	1526	32651
67	1549	32632
68	1573	32630
69	1586	32416
70	1609	32388
71	1629	32321
72	1654	32348
73	1675	32285
74	1695	32216
75	1713	32111
76	1731	31994
77	1748	31872
78	1766	31776
79	1783	31663
80	1786	31305
81	1794	31039
82	1812	30941
83	1829	30846
84	1846	30743
85	1863	30640
86	1871	30399
87	1890	30331
88	1907	30246
89	1925	30171
90	1944	30110
91	1961	30020
92	1978	29929
93	1983	29663
94	2000	29583
95	2018	29517
96	2043	29553
97	2063	29526
98	2080	29446
99	2098	29377
100	2110	29240
101	2115	28991
102	2132	28921
103	2188	29379
104	2232	29663
105	2246	29542
106	2270	29560
107	2295	29585
108	2323	29648
109	2343	29608
110	2365	29599
111	2384	29546
112	2401	29476
113	2413	29341
114	2417	29116
115	2434	29040
116	2452	28993
117	2483	29083
118	2519	29244
119	2557	29410
120	2597	29606
121	2613	29521
122	2655	29730
123	2687	29824
124	2720	29925
125	2745	29941
126	2768	29930
127	2789	29898
128	2813	29905
